symbol,timestamp,open,high,low,close,volume,trade_count
600519.XSHG,2024-12-02 10:32:00,1475.56,1476.33,1475.38,1475.62,11495.0,16961189.0
600519.XSHG,2024-12-02 10:33:00,1475.61,1476.39,1474.59,1475.03,8906.0,13139607.0
600519.XSHG,2024-12-02 10:34:00,1474.99,1476.04,1474.99,1475.9,8181.0,12071469.0
600519.XSHG,2024-12-02 10:35:00,1475.31,1475.31,1473.5,1473.5,14290.0,21077078.0
600519.XSHG,2024-12-02 10:36:00,1473.12,1473.53,1471.69,1471.69,6938.0,10218267.0
600519.XSHG,2024-12-02 10:37:00,1471.5,1472.9,1471.32,1472.25,17915.0,26361459.0
600519.XSHG,2024-12-02 10:38:00,1472.25,1472.63,1471.33,1471.4,13358.0,19666022.0
600519.XSHG,2024-12-02 10:39:00,1471.7,1471.7,1471.32,1471.49,78287.0,115186839.0
600519.XSHG,2024-12-02 10:40:00,1471.41,1471.48,1471.32,1471.34,19468.0,28644264.0
600519.XSHG,2024-12-02 10:41:00,1471.38,1472.27,1471.38,1472.27,4349.0,6400314.0
600519.XSHG,2024-12-02 10:42:00,1472.27,1472.27,1471.39,1471.95,5695.0,8382700.0
600519.XSHG,2024-12-02 10:43:00,1471.58,1471.69,1471.32,1471.33,23403.0,34434260.0
600519.XSHG,2024-12-02 10:44:00,1469.85,1470.52,1469.06,1470.52,64307.0,94589740.0
600519.XSHG,2024-12-02 10:45:00,1469.76,1469.84,1468.78,1469.76,9423.0,13844643.0
600519.XSHG,2024-12-02 10:46:00,1468.8,1470.38,1468.8,1469.41,8491.0,12475960.0
600519.XSHG,2024-12-02 10:47:00,1469.02,1470.68,1469.02,1470.68,4453.0,6544583.0
600519.XSHG,2024-12-02 10:48:00,1470.37,1470.63,1470.37,1470.63,2900.0,4263721.0
600519.XSHG,2024-12-02 10:49:00,1470.69,1470.75,1469.76,1469.76,5074.0,7460715.0
600519.XSHG,2024-12-02 10:50:00,1470.31,1470.31,1469.08,1469.08,4039.0,5935706.0
600519.XSHG,2024-12-02 10:51:00,1469.04,1469.04,1468.8,1468.89,3624.0,5323912.0
600519.XSHG,2024-12-02 10:52:00,1469.04,1470.31,1469.04,1470.18,5281.0,7760184.0
600519.XSHG,2024-12-02 10:53:00,1470.18,1470.19,1469.4,1469.62,4763.0,7001791.0
600519.XSHG,2024-12-02 10:54:00,1469.94,1469.94,1469.63,1469.89,2900.0,4261764.0
600519.XSHG,2024-12-02 10:55:00,1469.89,1470.04,1469.89,1470.04,5096.0,7490824.0
600519.XSHG,2024-12-02 10:56:00,1469.96,1469.96,1469.47,1469.47,6835.0,10045271.0
600519.XSHG,2024-12-02 10:57:00,1469.46,1469.57,1468.8,1469.47,9216.0,13539928.0
600519.XSHG,2024-12-02 10:58:00,1468.82,1469.93,1468.82,1469.76,10045.0,14762902.0
600519.XSHG,2024-12-02 10:59:00,1469.75,1470.93,1469.66,1469.76,8491.0,12481540.0
600519.XSHG,2024-12-02 11:00:00,1469.76,1470.9,1469.76,1470.74,6524.0,9588924.0
600519.XSHG,2024-12-02 11:01:00,1470.74,1470.74,1469.57,1469.57,6317.0,9285222.0
600519.XSHG,2024-12-02 11:02:00,1469.56,1470.08,1468.91,1469.06,5385.0,7910778.0
600519.XSHG,2024-12-02 11:03:00,1469.06,1470.0,1469.06,1469.63,3728.0,5478631.0
600519.XSHG,2024-12-02 11:04:00,1469.64,1469.64,1467.92,1467.92,19986.0,29355027.0
600519.XSHG,2024-12-02 11:05:00,1468.01,1468.8,1467.85,1468.7,6524.0,9577150.0
600519.XSHG,2024-12-02 11:06:00,1469.38,1469.38,1468.43,1468.7,3314.0,4867216.0
600519.XSHG,2024-12-02 11:07:00,1468.69,1469.38,1468.44,1469.37,3417.0,5019655.0
600519.XSHG,2024-12-02 11:08:00,1468.94,1469.75,1468.94,1469.74,2382.0,3499728.0
600519.XSHG,2024-12-02 11:09:00,1469.32,1470.51,1469.32,1469.77,3417.0,5022744.0
600519.XSHG,2024-12-02 11:10:00,1470.43,1471.3,1470.43,1471.3,2589.0,3807236.0
600519.XSHG,2024-12-02 11:11:00,1471.3,1471.31,1470.73,1470.78,4556.0,6701828.0
600519.XSHG,2024-12-02 11:12:00,1470.79,1471.2,1470.73,1471.18,1450.0,2132650.0
600519.XSHG,2024-12-02 11:13:00,1471.17,1471.94,1471.16,1471.16,2692.0,3961309.0
600519.XSHG,2024-12-02 11:14:00,1471.16,1471.16,1471.04,1471.07,3314.0,4874848.0
600519.XSHG,2024-12-02 11:15:00,1471.07,1471.13,1471.05,1471.11,3417.0,5027158.0
600519.XSHG,2024-12-02 11:16:00,1471.13,1471.13,1470.73,1471.02,3728.0,5483968.0
600519.XSHG,2024-12-02 11:17:00,1470.73,1470.98,1469.76,1470.67,9216.0,13551860.0
600519.XSHG,2024-12-02 11:18:00,1470.67,1470.76,1470.05,1470.76,3728.0,5482285.0
600519.XSHG,2024-12-02 11:19:00,1470.72,1471.6,1470.05,1470.05,5903.0,8681366.0
600519.XSHG,2024-12-02 11:20:00,1470.05,1470.78,1469.96,1470.75,4867.0,7156505.0
600519.XSHG,2024-12-02 11:21:00,1470.75,1470.75,1470.05,1470.06,2900.0,4262867.0
600519.XSHG,2024-12-02 11:22:00,1470.06,1470.06,1469.76,1469.78,5903.0,8676076.0
600519.XSHG,2024-12-02 11:23:00,1469.76,1469.76,1469.62,1469.62,2900.0,4261464.0
600519.XSHG,2024-12-02 11:24:00,1469.47,1469.57,1468.8,1468.99,3107.0,4564342.0
600519.XSHG,2024-12-02 11:25:00,1468.94,1469.67,1468.94,1469.67,5592.0,8215878.0
600519.XSHG,2024-12-02 11:26:00,1469.67,1471.08,1469.65,1471.08,5903.0,8678443.0
600519.XSHG,2024-12-02 11:27:00,1471.08,1471.21,1470.86,1471.18,5385.0,7921249.0
600519.XSHG,2024-12-02 11:28:00,1471.23,1471.68,1471.19,1471.57,2382.0,3504731.0
600519.XSHG,2024-12-02 11:29:00,1471.57,1472.66,1471.19,1471.92,9009.0,13259780.0
600519.XSHG,2024-12-02 11:30:00,1471.91,1474.56,1471.91,1474.11,11007.0,16214513.0
600519.XSHG,2024-12-02 13:01:00,1474.47,1475.56,1474.47,1475.56,30787.0,45414587.0
600519.XSHG,2024-12-02 13:02:00,1475.56,1475.75,1473.02,1473.62,17294.0,25503409.0
600519.XSHG,2024-12-02 13:03:00,1472.85,1473.16,1472.66,1473.14,5074.0,7473826.0
600519.XSHG,2024-12-02 13:04:00,1472.74,1473.27,1472.74,1473.17,3935.0,5796378.0
600519.XSHG,2024-12-02 13:05:00,1473.29,1473.29,1472.83,1472.83,3417.0,5034145.0
600519.XSHG,2024-12-02 13:06:00,1472.18,1472.18,1471.21,1471.21,7559.0,11127963.0
600519.XSHG,2024-12-02 13:07:00,1471.57,1471.57,1470.02,1470.02,5385.0,7921331.0
600519.XSHG,2024-12-02 13:08:00,1470.59,1471.02,1468.99,1469.55,11184.0,16434331.0
600519.XSHG,2024-12-02 13:09:00,1469.73,1470.27,1468.99,1469.07,8595.0,12629383.0
600519.XSHG,2024-12-02 13:10:00,1468.99,1469.08,1467.96,1468.69,12116.0,17792338.0
600519.XSHG,2024-12-02 13:11:00,1468.71,1469.08,1468.04,1468.96,6627.0,9734377.0
